Quote,Option 1,Option 2,Option 3,Option 4,Correct Answer,,Unique
"""The flames of destiny cannot be extinguished.""",Avalanche (1999 film),Ablaze (2001 film),Air Rage (film),American Ninja,Ablaze (2001 film),Action,Unique
"""Speed isn't just about the car it's about the heart behind it.""",Arena (2011 film),Air Mail Pilot,Acceleration (film),Alaska Patrol,Acceleration (film),Action,Unique
"""Iron wings steel resolve.""",Air Collision,Arm of the Law,Aces: Iron Eagle III,Avenging Force,Aces: Iron Eagle III,Action,Unique
"""Justice rides a hard road in Texas.""",The Assault (2017 film),Avenging Fangs,Action U.S.A.,Avalanche (1946 film),Action U.S.A.,Action,Unique
"""Recon means more than just seeing it's about understanding.""",American Kickboxer 2,The Annihilators (film),Air Eagles,Agent Recon,Agent Recon,Action,Unique
"""Betrayal cuts deeper than any bullet.""",Agent Red,American Samurai,Avalanche (1946 film),The Alternate (film),Agent Red,Action,Unique
"""Drift through the chaos find your path.""",Aggro Dr1ft,American Ninja V,Angels Die Hard,The Art of War III,Aggro Dr1ft,Action,Unique
"""Collision course with destiny.""",Agent Red,Air Collision,The Asian Connection,Airline Disaster,Air Collision,Action,Unique
"""Soar beyond the limits.""",Alaska Patrol,The Alternate (film),Air Mail Pilot,Air Eagles,Air Eagles,Action,Unique
"""Delivering hope one letter at a time.""",Alley Cat (film),Armed (film),Air Mail Pilot,Avalanche (1999 film),Air Mail Pilot,Action,Unique
"""Panic at 30000 feet.""",Assault on Devil's Island,Air Rage (film),Apocalypse Pompeii,Air Panic,Air Panic,Action,Unique
"""Rage knows no altitude.""",Air Collision,Air Rage (film),Agent Recon,Angels Die Hard,Air Rage (film),Action,Unique
"""Disaster strikes from the skies.""",Airline Disaster,Air Panic,The Asian Connection,Angel Town (film),Airline Disaster,Action,Unique
"""Patrolling the wild frontier.""",American Ninja,The Annihilators (film),Alaska Patrol,Avenging Force,Alaska Patrol,Action,Unique
"""Cats have nine lives but I only need one.""",Arm of the Law,The Arm of the Law,Alley Cat (film),American Kickboxer,Alley Cat (film),Action,Unique
"""No one can be replaced.""",Agent Recon,The Alternate (film),Assault on Devil's Island,Avenging Fangs,The Alternate (film),Action,Unique
"""Kickboxing is more than a sport it's a way of life.""",American Kickboxer,Air Rage (film),Arena (2011 film),Arson Gang Busters,American Kickboxer,Action,Unique
"""The fight never ends.""",Air Panic,American Kickboxer 2,American Ninja 3,Arm of the Law,American Kickboxer 2,Action,Unique
"""Sometimes you fight not because you want to but because you must.""",Avenging Fangs,The Asian Connection,The Assault (1996 film),American Ninja,American Ninja,Action,Unique
"""Confront your fears conquer your enemies.""",Air Collision,The Avenging Shadow,Assault on Devil's Island,American Ninja 2,American Ninja 2,Action,Unique
"""The hunt for justice is never over.""",Arson Gang Busters,American Ninja 3,Arena (2011 film),American Kickboxer 2,American Ninja 3,Action,Unique
"""Annihilation is only the beginning.""",American Ninja 4,Angels Die Hard,Agent Recon,Arm of the Law,American Ninja 4,Action,Unique
"""When all else fails trust your instincts.""",American Ninja V,The Asian Connection,Apocalyptic Pompeii,Avalanche (1999 film),American Ninja V,Action,Unique
"""Samurai spirit American heart.""",Alley Cat (film),American Samurai,The Alternate (film),The Art of War II: Betrayal,American Samurai,Action,Unique
"""When the world ends only the strong will survive.""",Air Rage (film),Angels Die Hard,Amerigeddon,Arm of the Law,Amerigeddon,Action,Unique
"""Every town has its angels.""",Angel Town (film),The Assault (2017 film),American Ninja V,The Art of War III: Retribution,Angel Town (film),Action,Unique
"""Fist of fury heart of an angel.""",Armed (film),Arson Gang Busters,Assault on Devil's Island,Angelfist,Angelfist,Action,Unique
"""Ride hard die free.""",Alaska Patrol,The Arm of the Law,American Kickboxer,Angels Die Hard,Angels Die Hard,Action,Unique
"""Annihilate your enemies protect your friends.""",Avenging Shadow,Air Mail Pilot,The Annihilators (film),Apocalyptic Pompeii,The Annihilators (film),Action,Unique
"""Pompeii wasn't the end it was just the beginning.""",Aggro Dr1ft,Apocalypse Pompeii,Armed (film),The Art of War II: Betrayal,Apocalypse Pompeii,Action,Unique
"""Fight for glory in the arena of life.""",Arena (2011 film),Angels Die Hard,American Kickboxer,Air Panic,Arena (2011 film),Action,Unique
"""Justice is the strongest arm.""",The Arm of the Law,Assault on Devil's Island,Apocalypse Pompeii,Armed (film),The Arm of the Law,Action,Unique
"""When you're armed with hope nothing can stop you.""",American Ninja 3,Air Mail Pilot,Armed (film),Air Rage (film),Armed (film),Action,Unique
"""Bust the gang save the city.""",Arson Gang Busters,Alley Cat (film),Agent Recon,The Annihilators (film),Arson Gang Busters,Action,Unique
"""War isn't an art it's a betrayal.""",Avenging Fangs,Avalanche (1946 film),The Art of War II: Betrayal,Alaska Patrol,The Art of War II,Action,Unique
"""Retribution is a dish best served cold.""",Alaska Patrol,The Art of War III,Air Eagles,Avenging Force,The Art of War III,Action,Unique
"""Connect with your enemies before you defeat them.""",Angels Die Hard,The Asian Connection,Agent Recon,The Avenging Shadow,The Asian Connection,Action,Unique
"""Assault the devil and don't look back.""",Air Panic,Agent Red,Alley Cat (film),Assault on Devil's Island,Assault on Devil's Island,Action,Unique
"""When the world is against you assault back.""",Arena (2011 film),The Assault (2017 film),American Ninja,Avalanche (1999 film),The Assault (2017 film),Action,Unique
"""Attrition is the path to victory.""",Arm of the Law,Attrition (film),Avenging Force,Alaska Patrol,Attrition (film),Action,Unique
"""Avalanche of danger mountain of courage.""",Angels Die Hard,American Samurai,The Alternate (film),Avalanche (1999 film),Avalanche (1999 film),Action,Unique
"""Snow falls but courage rises.""",Arm of the Law,Agent Recon,Air Rage (film),Avalanche (1946 film),Avalanche (1946 film),Action,Unique
"""Fangs of vengeance never dull.""",Alaska Patrol,Avenging Fangs,The Assault (2017 film),American Ninja,Avenging Fangs,Action,Unique
"""Force your way through adversity.""",Avenging Force,American Kickboxer,The Assault (1996 film),Air Panic,Avenging Force,Action,Unique
"""In the shadows I find my vengeance.""",The Arm of the Law,Angelfist,Apocalypse Pompeii,The Avenging Shadow,The Avenging Shadow,Action,Unique
"""Sometimes you need a miracle and a little bit of luck.""",Bloodfist VI: Ground Zero,Bachelor Mother (1932 film),Batman Forever,Behind Enemy Lines (1997 film),Bachelor Mother (1932 film),Action,Unique
"""We're back and we're taking no prisoners.""",Bloodsport 4: The Dark Kumite,Bloodfist VIII: Trained to Kill,Black Belt Angels,Back in Action (1994 film),Back in Action (1994 film),Action,Unique
"""Never underestimate a badass.""",Bad Ass (film),Banzai Runner,Batman Forever,Batman (1989 film),Bad Ass (film),Action,Unique
"""Double the trouble double the fight.""",Bad Asses,Best of the Best II,Bloodfist VII: Manhunt,Batman & Robin (film),Bad Asses,Action,Unique
"""Taking names kicking ass down by the bayou.""",Black Thunder (film),Batman: Dead End,Bad Asses on the Bayou,Born to Be Wild (1938 film),Bad Asses on the Bayou,Action,Unique
"""Running wild running free.""",Black Belt Jones,Banzai Runner,Blood Street,Blunt Force Trauma (film),Banzai Runner,Action,Unique
"""Even heroes have a dark side.""",Batgirl (film),Black Dawn (2005 film),Blood of the Samurai,Batman Forever,Batgirl (film),Action,Unique
"""You ever danced with the devil in the pale moonlight?""",Belly of the Beast,Batman (1989 film),Batman Forever,Bloodfist II,Batman (1989 film),Action,Unique
"""The original dark knight rises.""",Behind Enemy Lines II: Axis of Evil,Bloodfist V: Human Target,Batman (serial),Best of the Best 4: Without Warning,Batman (serial),Action,Unique
"""The dynamic duo's toughest challenge yet.""",Black Thunder (film),Bloodfist VIII: Trained to Kill,Bitch Slap,Batman & Robin (film),Batman & Robin (film),Action,Unique
"""A legacy of justice begins.""",Behind Enemy Lines (1997 film),Best of the Best 3: No Turning Back,Black Belt Angels,Batman and Robin (serial),Batman and Robin (serial),Action,Unique
"""Forever a guardian of Gotham.""",Bloodsport 4: The Dark Kumite,Behind Enemy Lines II: Axis of Evil,Black Dawn (2005 film),Batman Forever,Batman Forever,Action,Unique
"""The dawn of justice is now.""",Bloodsport III,Batman v Superman: Dawn of Justice,Bloodfist VII: Manhunt,Born to Race (2011 film),Batman v Superman,Action,Unique
"""Even legends have their limits.""",Bloodsport 4: The Dark Kumite,Batman: Dead End,Best of the Best (1989 film),Blunt Force Trauma (film),Batman: Dead End,Action,Unique
"""Dying is easy living is hard.""",Behind Enemy Lines (1997 film),Belly of the Beast,Black Thunder (film),Batman: Dying Is Easy,Batman: Dying Is Easy,Action,Unique
"""Behind enemy lines there is no mercy.""",Black Belt Jones,Born to Race (2011 film),Best of the Best II,Behind Enemy Lines (1997 film),Behind Enemy Lines (1997 film),Action,Unique
"""The axis of evil will fall.""",Best of the Best 4: Without Warning,Black Belt Angels,Bloodfist IV: Die Trying,Behind Enemy Lines II: Axis of Evil,Behind Enemy Lines II,Action,Unique
"""In the belly of the beast only the strong survive.""",Black Dawn (2005 film),Bloodfist,Black Oak Conspiracy,Belly of the Beast,Belly of the Beast,Action,Unique
"""The best always rises to the top.""",Bloodfist V: Human Target,Batman v Superman: Dawn of Justice,Born to Race (2011 film),Best of the Best (1989 film),Best of the Best (1989 film),Action,Unique
"""No turning back no giving up.""",Blood Street,Bloodsport III,Best of the Best 3: No Turning Back,Batman: Dead End,Best of the Best 3,Action,Unique
